Loc_ID,Lat,Long
1,42.24952,2.05362
2,42.12372,1.18129
3,42.94277,1.41361
4,42.90623,1.22319
5,42.15729,1.18414
6,42.23499,1.87483
7,42.21474,1.25014
8,42.2676,1.94756
9,42.17205,1.85453
10,42.12779,1.90109
11,25.16473,55.92517
12,26.15953,56.3032
13,22.76355,54.1681
14,24.99132,55.99199
15,25.3857,54.86128
16,25.98246,56.62176
17,25.31955,55.96291
18,25.65737,55.81206
19,23.78028,52.35056
20,25.44641,55.96141
21,23.87167,56.10056
22,25.78111,55.13504
23,25.64812,55.54157
24,24.85667,54.69667
25,33.19149,70.07446
26,34.6836,67.60567
27,34.98389,61.59778
28,35.0682,65.11457
29,36.31831,66.09132
30,32.98462,68.75068
31,36.43352,66.52029
32,33.82778,69.38774
33,36.87947,71.7041
34,31.6148,65.1336
35,34.02264,62.13675
36,33.24734,68.04573
37,32.76641,68.46213
38,30.64962,62.24037
39,31.9726,66.56708
40,37.81572,70.01131
41,32.58742,68.26622
42,31.87122,64.21553
43,33.35847,68.00205
44,34.32509,64.10868
45,34.00032,63.48361
46,34.92431,61.57895
47,33.85118,64.81116
48,37.20168,69.97674
49,32.94998,65.48806
50,36.33605,69.17451
51,35.99941,65.74164
52,34.51501,69.95917
53,32.64139,63.24936
54,30.68575,66.08001
55,32.86204,69.1352
56,35.73916,66.52823
57,35.40553,69.18578
58,34.89169,70.26859
59,32.93294,61.8374
60,33.66744,70.28283
61,34.68975,69.33685
62,36.33757,65.3629
63,33.76386,69.74684
64,31.40347,66.67376
65,37.27984,70.41928
66,33.75737,63.9752
67,32.19154,67.06315
68,34.02056,69.05881
69,33.68037,69.07346
70,35.74529,66.1397
71,35.35298,69.70112
72,32.94521,66.65324
73,33.82998,65.34632
74,34.93962,69.38005
75,34.42023,71.41962
76,32.58333,68.27517
77,35.90544,66.25249
78,36.06177,64.83055
79,32.39275,64.4559
80,33.4596,67.11046
81,36.16972,66.73694
82,34.938,62.6744
83,34.71744,70.97937
84,35.86468,68.41551
85,34.92999,67.97387
86,30.5,62.29
87,36.79604,69.43045
88,34.47951,62.48917
89,33.92234,69.0064
90,37.25939,65.4049
91,34.45183,66.67801
92,35.98747,64.64318
93,37.03853,65.67358
94,34.25402,70.60292
95,36.69999,66.38891
96,36.84959,68.4802
97,35.28023,62.12589
98,32.81801,67.70798
99,35.31735,62.80891
100,38.44119,70.77298
101,32.94591,63.31681
102,35.84729,65.1776
103,32.48575,67.28833
104,34.34921,70.2114
105,34.4485,63.10003
106,35.77064,71.31261
107,35.64458,68.32512
108,34.32529,69.41274
109,36.09664,65.45486
110,31.9372,65.7343
111,33.98956,65.1531
112,34.72795,67.36327
113,34.26787,69.27091
114,33.20029,68.45627
115,34.00972,62.80639
116,32.52775,66.31253
117,32.61111,69.52
118,38.8235,70.42413
119,34.31341,71.16498
120,32.78315,64.84959
121,33.33178,66.43023
122,34.35414,66.64292
123,32.9423,66.40403
124,35.31398,69.66511
125,34.24793,68.28652
126,35.57995,71.92284
127,34.41009,70.73738
128,32.83934,69.59179
129,36.4549,69.43343
130,31.99286,63.90982
131,32.82565,65.12486
132,35.23408,62.98886
133,32.49009,67.39934
